,DateTime,Excess_Rainfall,Deficit_Rainfall,Extream_Heat,Yield (Tonne/Hectare),total_breaches,Yield_Loss,,
0,2011,0,0,9,1.16,9,0.230514096,,
1,2012,0,0,0,1.45,0,0.03814262,,Back testing for perivous years
2,2013,1,0,0,1.01,1,0.330016584,,
3,2014,0,0,6,1.06,6,0.296849088,,total payout for 2015 (Assuming 100% coverage)
4,2015,0,29,24,0.76,53,0.495854063,,54286.335
5,2016,0,0,0,1.59,0,-0.054726368,,
6,2017,0,0,7,0.91,7,0.396351575,,total payout for 2017 (Assuming 100% coverage)
7,2018,0,0,13,1.49,13,0.011608624,,10063.62
8,2019,1,0,0,1.5,1,0.004975124,,
9,2020,3,0,0,1.26,3,0.164179104,,
10,2021,0,0,0,1.02,0,0.323383085,,
11,2022,0,0,0,1.24,0,0.177446103,,
